Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5180060948,theneum1,0,153.6,1B Josh Bell 2B Jose Altuve 3B Brooks Lee C Jonah Heim OF Kody Clemens OF Trevor Larnach OF Luke Keaschall P Max Meyer P Shane McClanahan SS Mookie Betts,,Tatsuya Imai,P,57.26%,-8.4
2,5180087578,FoxyGrandpa252 (12/12),0,152.25,1B Rafael Devers 2B Ketel Marte 3B Yandy Diaz C Hunter Goodman OF Jung Hoo Lee OF Heliot Ramos OF Victor Bericoto P Shane McClanahan P Shane Drohan SS Geraldo Perdomo,,Max Meyer,P,36.00%,17.9
3,5180062744,SpartanDawgs21 (1/4),0,146.95,1B Jonathan Aranda 2B Ozzie Albies 3B Junior Caminero C Jonah Heim OF Kyle Stowers OF Cedric Mullins OF Victor Mesa Jr. P Max Meyer P Taj Bradley SS Cooper Pratt,,Esteury Ruiz,OF,33.68%,0
3,5180062747,SpartanDawgs21 (4/4),0,146.95,1B Jonathan Aranda 2B Ozzie Albies 3B Junior Caminero C Jonah Heim OF Kyle Stowers OF Cedric Mullins OF Victor Mesa Jr. P Max Meyer P Taj Bradley SS Cooper Pratt,,Shane Drohan,P,31.58%,18.55
5,5180066046,ellisac1 (3/14),0,144.95,1B Josh Bell 2B Kody Clemens 3B Brooks Lee C Shea Langeliers OF Jackson Chourio OF Esteury Ruiz OF Trevor Larnach P Max Meyer P Taj Bradley SS Joshua Kuroda-Grauer,,Otto Lopez,SS,30.53%,3
6,5180065167,Emac (9/14),0,137.95,1B Andrew Vaughn 2B Brice Turang 3B Eugenio Suarez C Tyler Stephenson OF Jackson Chourio OF Garrett Mitchell OF Noelvi Marte P Max Meyer P Taj Bradley SS Elly De La Cruz,,Taj Bradley,P,25.47%,31.05
6,5180066047,ellisac1 (4/14),0,137.95,1B Josh Bell 2B Joshua Kuroda-Grauer 3B Junior Caminero C Victor Caratini OF Kody Clemens OF Esteury Ruiz OF Trevor Larnach P Max Meyer P Taj Bradley SS Otto Lopez,,Heriberto Hernandez,OF,25.26%,7
6,5180066050,ellisac1 (7/14),0,137.95,1B Nick Kurtz 2B Ketel Marte 3B Brooks Lee C Victor Caratini OF Kody Clemens OF Esteury Ruiz OF Trevor Larnach P Max Meyer P Taj Bradley SS Joshua Kuroda-Grauer,,Javier Sanoja,3B,24.63%,16
9,5180066756,bradydcallahan (1/2),0,137.3,1B Royce Lewis 2B Kody Clemens 3B Brooks Lee C Victor Caratini OF Mickey Moniak OF Heriberto Hernandez OF Trevor Larnach P Taj Bradley P Andrew Abbott SS Otto Lopez,,Shohei Ohtani,OF,24.42%,0
10,5180066670,tbone9,0,136.8,1B Josh Bell 2B Luke Keaschall 3B Nolan Arenado C Yainer Diaz OF Yordan Alvarez OF Mickey Moniak OF Chandler Simpson P Shane McClanahan P Michael McGreevy SS Otto Lopez,,Jackson Chourio,OF,18.95%,9
11,5180083988,tevincolemanfan (14/14),0,134.6,1B Josh Bell 2B Kody Clemens 3B Brooks Lee C Hunter Goodman OF Jackson Chourio OF Jake McCarthy OF Trevor Larnach P Taj Bradley P Shane Drohan SS Joey Ortiz,,Junior Caminero,3B,18.32%,16
12,5180077610,Darkmen715 (13/14),0,133.75,1B Jonathan Aranda 2B Luis Arraez 3B Javier Sanoja C Jonah Heim OF Kyle Stowers OF Chandler Simpson OF Cedric Mullins P Shane McClanahan P Taj Bradley SS Otto Lopez,,Cedric Mullins,OF,17.68%,19
13,5180070657,nicoh22 (5/14),0,132.95,1B Josh Bell 2B Luke Keaschall 3B Brooks Lee C Liam Hicks OF Corbin Carroll OF Heriberto Hernandez OF Kody Clemens P Max Meyer P Taj Bradley SS Ryan Kreidler,,Ketel Marte,2B,17.68%,22
