mode,slot,player,team,salary,proj,ceiling,own
cash,P,Shota Imanaga,CHC,7800,14.7,14.7,42.6
cash,P,Zebby Matthews,MIN,7000,14.2,14.2,55.1
cash,C,Hunter Goodman,COL,6200,11.1,14.5,10.1
cash,1B,Kyle Stowers,MIA,4900,10.0,11.3,16.2
cash,2B,Luke Keaschall,MIN,3300,8.4,8.6,23.1
cash,3B,Manny Machado,SD,3900,8.2,10.2,3.2
cash,SS,Ryan Kreidler,MIN,2800,7.1,9.0,29.9
cash,OF,Jake McCarthy,COL,4600,10.8,11.9,26.4
cash,OF,Jakob Marsee,MIA,4700,11.0,11.5,26.3
cash,OF,Mickey Moniak,COL,4700,11.1,14.2,26.9
gpp,P,Sandy Alcantara,MIA,7400,12.6,12.6,29.8
gpp,P,Shota Imanaga,CHC,7800,14.7,14.7,42.6
gpp,C,Joe Mack,MIA,3800,8.3,9.4,20.3
gpp,1B,Christian Walker,HOU,3800,7.6,10.0,4.7
gpp,2B,Kody Clemens,MIN,4100,8.1,10.2,4.4
gpp,3B,Manny Machado,SD,3900,8.2,10.2,3.2
gpp,SS,Otto Lopez,MIA,5300,9.9,10.7,10.4
gpp,OF,Heriberto Hernández,MIA,4300,10.1,12.0,26.7
gpp,OF,Mickey Moniak,COL,4700,11.1,14.2,26.9
gpp,OF,Kyle Stowers,MIA,4900,10.0,11.3,16.2
