mode,slot,player,team,salary,proj,ceiling,own
cash,P,Bryce Miller,SEA,9500,23.5,23.5,65.0
cash,P,Nathan Eovaldi,TEX,9000,20.0,20.0,38.4
cash,C,Hunter Feduccia,TB,2400,7.2,7.5,33.0
cash,1B,Jonathan Aranda,TB,4300,9.3,11.0,27.3
cash,2B,Richie Palacios,TB,3500,7.9,8.1,21.8
cash,3B,Colson Montgomery,CWS,4400,9.0,11.6,8.5
cash,SS,Bobby Witt Jr.,KC,6100,10.1,11.6,5.4
cash,OF,Cedric Mullins,TB,3300,8.5,9.7,27.6
cash,OF,Victor Mesa Jr.,TB,3200,8.1,9.9,42.6
cash,OF,Chandler Simpson,TB,3900,8.7,8.7,9.8
gpp,P,Nathan Eovaldi,TEX,9000,20.0,20.0,38.4
gpp,P,Framber Valdez,DET,7300,16.9,16.9,30.9
gpp,C,Drake Baldwin,ATL,4500,8.9,11.3,15.5
gpp,1B,Jonathan Aranda,TB,4300,9.3,11.0,27.3
gpp,2B,Justin Foscue,TEX,3400,6.7,9.0,18.4
gpp,3B,Junior Caminero,TB,6300,9.7,12.6,8.2
gpp,SS,Colson Montgomery,CWS,4400,9.0,11.6,8.5
gpp,OF,Victor Mesa Jr.,TB,3200,8.1,9.9,42.6
gpp,OF,Chandler Simpson,TB,3900,8.7,8.7,9.8
gpp,OF,Kerry Carpenter,DET,3500,7.5,10.3,10.1
