mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Jacob deGrom,TEX,9500,23.4,23.4,65.0,P,6157282,P-prop
cash,P,Zack Wheeler,PHI,10500,22.1,22.1,25.6,P,6157573,P-prop
cash,C,Iván Herrera,STL,4000,8.4,9.7,3.5,C,823035,H-slot2
cash,1B,Pavin Smith,AZ,2100,8.1,8.6,21.7,1B,823280,H-slot7
cash,2B,Ketel Marte,AZ,4900,10.3,12.4,5.1,2B,823280,H-slot1
cash,3B,Edmundo Sosa,PHI,3000,8.4,9.8,22.1,3B/OF,824495,H-slot5
cash,SS,Francisco Lindor,NYM,4100,9.3,10.5,6.9,SS,823607,H-slot4
cash,OF,Luis Lara,MIL,2000,8.0,9.4,65.0,OF,823035,H-slot2
cash,OF,Luke Keaschall,MIN,3200,8.5,9.0,3.4,2B/OF,823687,H-slot8
cash,OF,Shohei Ohtani,LAD,6600,13.1,15.4,5.5,1B/OF,823929,H-slot1
gpp,P,Taj Bradley,MIN,8500,17.6,17.6,14.6,P,6157914,P-prop
gpp,P,Payton Tolle,BOS,8700,17.1,17.1,10.7,P,6157862,P-prop
gpp,C,Brandon Valenzuela,TOR,3200,7.0,8.7,7.0,C,823203,H-slot5
gpp,1B,Freddie Freeman,LAD,6000,9.3,11.0,1.5,1B,823929,H-slot3
gpp,2B,Tommy Edman,LAD,4000,7.7,8.4,2.0,2B/OF,823929,H-slot5
gpp,3B,Max Muncy,LAD,4900,9.3,11.6,3.5,3B,823929,H-slot4
gpp,SS,Colson Montgomery,CWS,4400,9.3,12.2,5.4,SS,824579,H-slot3
gpp,OF,Kyle Tucker,LAD,4500,9.7,10.5,2.2,OF,823929,H-slot6
gpp,OF,Junior Perez,CWS,2400,7.0,10.8,7.5,OF,824579,H-slot6
gpp,OF,Randal Grichuk,CWS,3200,8.0,11.1,11.5,OF,824579,H-slot2
