mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Robbie Ray,SF,6800,16.8,16.8,65.0,P,6159102,P-prop
cash,P,Shane Bieber,TOR,7100,12.5,12.5,11.7,P,6158912,P-prop
cash,C,Gabriel Moreno,ARI,4000,7.8,8.8,17.9,C,823927,H-slot4
cash,1B,Freddie Freeman,LAD,5900,9.4,11.1,9.7,1B,823927,H-slot3
cash,2B,Ketel Marte,ARI,4900,9.9,11.9,16.2,2B,823927,H-slot1
cash,3B,Kazuma Okamoto,TOR,3600,7.9,10.4,16.0,3B,823278,H-slot3
cash,SS,Geraldo Perdomo,ARI,3900,8.8,9.5,29.9,SS,823927,H-slot2
cash,OF,George Springer,TOR,3300,7.8,9.2,21.3,OF,823278,H-slot4
cash,OF,Corbin Carroll,ARI,4800,9.8,11.3,15.8,OF,823927,H-slot3
cash,OF,Kyle Tucker,LAD,4800,9.3,10.1,10.2,OF,823927,H-slot6
gpp,P,Robbie Ray,SF,6800,16.8,16.8,65.0,P,6159102,P-prop
gpp,P,Shane Bieber,TOR,7100,12.5,12.5,11.7,P,6158912,P-prop
gpp,C,Gabriel Moreno,ARI,4000,7.8,8.8,17.9,C,823927,H-slot4
gpp,1B,Freddie Freeman,LAD,5900,9.4,11.1,9.7,1B,823927,H-slot3
gpp,2B,Ketel Marte,ARI,4900,9.9,11.9,16.2,2B,823927,H-slot1
gpp,3B,Kazuma Okamoto,TOR,3600,7.9,10.4,16.0,3B,823278,H-slot3
gpp,SS,Geraldo Perdomo,ARI,3900,8.8,9.5,29.9,SS,823927,H-slot2
gpp,OF,Corbin Carroll,ARI,4800,9.8,11.3,15.8,OF,823927,H-slot3
gpp,OF,Jonatan Clase,TOR,2000,5.6,10.4,15.9,OF,823278,H-slot9
gpp,OF,Andy Pages,LAD,5400,9.0,10.8,12.3,OF,823927,H-slot2
