gid,mode,fighter,salary,proj,p_win,own,cpt
153825,cash,Raul Rosas Jr.,8700,85.08,0.5713,47.4,
153825,cash,Luis Hernandez,9000,78.21,0.6892,40.3,
153825,cash,Ailin Perez,8300,70.51,0.6049,60.9,
153825,cash,Rodolfo Vieira,8400,69.03,0.6166,44.5,
153825,cash,Raoni Barcelos,7500,63.07,0.4287,42.5,
153825,cash,Elves Brener,8000,56.67,0.4705,30.4,
153825,gpp,Raul Rosas Jr.,8700,85.08,0.5713,47.4,
153825,gpp,Montel Jackson,8800,74.2,0.6892,36.1,
153825,gpp,Rodolfo Bellato,8600,66.61,0.6308,23.0,
153825,gpp,Josiah Harrell,8200,61.14,0.5295,9.9,
153825,gpp,Norma Dumont,7900,48.88,0.3951,9.3,
153825,gpp,Robert Bryczek,7800,43.28,0.3834,5.9,
154126,cash,Raoni Barcelos,9600,95.09,0.4287,9.7,1
154126,cash,Rodolfo Bellato,8000,67.13,0.6376,44.3,0
154126,cash,Rodolfo Vieira,7600,68.3,0.6166,67.2,0
154126,cash,Rinya Nakamura,9200,84.94,0.7864,49.3,0
154126,cash,Ailin Perez,7400,70.04,0.6049,80.5,0
154126,cash,Raul Rosas Jr.,8200,84.54,0.5713,60.8,0
154126,gpp,Raul Rosas Jr.,12300,126.81,0.5713,20.5,1
154126,gpp,Christian Edwards,6600,48.31,0.3624,15.7,0
154126,gpp,Robert Bryczek,6800,43.9,0.3834,7.7,0
154126,gpp,Rinya Nakamura,9200,84.94,0.7864,49.3,0
154126,gpp,Mahammadali Osmanli,9000,77.94,0.7517,40.7,0
154126,gpp,Sedriques Dumas,5800,40.11,0.3295,14.2,0
