mode,slot,player,team,opp_team,salary,proj,own
cash,QB,Justin Herbert,LAC,ARI,6100,21.2,23.1
cash,RB,Jahmyr Gibbs,DET,NO,8000,21.5,23.4
cash,RB,De'Von Achane,MIA,LV,7000,18.1,19.4
cash,WR,Garrett Wilson,NYJ,TEN,5800,14.7,16.9
cash,WR,Chris Olave,NO,DET,6700,17.4,19.3
cash,WR,Tre Tucker,LV,MIA,4000,10.8,24.0
cash,TE,Michael Mayer,LV,MIA,2900,10.2,23.9
cash,FLEX,Breece Hall,NYJ,TEN,6200,15.2,15.3
cash,DST,Steelers,PIT,ATL,3300,7.5,3.9
gpp,QB,Tyler Shough,NO,DET,5600,18.2,9.2
gpp,RB,De'Von Achane,MIA,LV,7000,18.1,19.4
gpp,RB,Jahmyr Gibbs,DET,NO,8000,21.5,23.4
gpp,WR,Chris Olave,NO,DET,6700,17.4,19.3
gpp,WR,Amon-Ra St. Brown,DET,NO,7500,17.9,12.3
gpp,WR,Garrett Wilson,NYJ,TEN,5800,14.7,16.9
gpp,TE,Juwan Johnson,NO,DET,3700,10.0,12.4
gpp,FLEX,Michael Mayer,LV,MIA,2900,10.2,23.9
gpp,DST,Jets,NYJ,TEN,2500,6.3,14.3
