date,player,team,pos,salary,proj,ceiling,own,conf,dk_fppg
2026-06-28,Kyle Bradish,BAL,P,9700,16.8,16.8,7.7,P-prop,
2026-06-28,Dylan Crews,WSH,OF,3600,3.9,5.5,0.4,H-prop,
2026-06-28,Jacob Young,WSH,OF,3100,2.6,3.9,0.2,H-prop,
2026-06-28,Taylor Ward,BAL,OF,4500,5.6,6.2,1.1,H-prop,
2026-06-28,James Wood,WSH,OF,5900,6.9,9.1,0.5,H-prop,
2026-06-28,Adley Rutschman,BAL,C,3900,5.3,6.8,1.6,H-prop,
2026-06-28,Daylen Lile,WSH,OF,4100,4.8,5.8,0.5,H-prop,
2026-06-28,Jackson Holliday,BAL,2B,3300,5.0,6.7,10.0,H-prop,
2026-06-28,Dylan Beavers,BAL,OF,2600,5.0,5.7,10.7,H-prop,
2026-06-28,Colton Cowser,BAL,OF,2800,4.7,6.4,6.7,H-prop,
2026-06-28,Coby Mayo,BAL,3B,3300,5.1,7.0,7.8,H-prop,
2026-06-28,Gunnar Henderson,BAL,SS,5000,5.9,7.7,2.7,H-prop,
2026-06-28,Jorbit Vivas,WSH,2B/3B,2400,3.8,4.5,7.4,H-prop,
2026-06-28,Curtis Mead,WSH,3B,5000,5.1,7.6,0.5,H-prop,
2026-06-28,Pete Alonso,BAL,1B,5500,6.4,8.5,1.7,H-prop,
2026-06-28,CJ Abrams,WSH,SS,5500,4.4,6.5,0.4,H-prop,
2026-06-28,Samuel Basallo,BAL,C,3500,5.5,7.5,5.7,H-prop,
2026-06-28,Luis Garcia Jr.,WSH,1B,3900,4.9,7.2,1.4,H-prop,
2026-06-28,Keibert Ruiz,WSH,C,3800,6.1,7.5,1.8,H-prop,
2026-06-28,TJ Friedl,CIN,OF,2700,2.2,2.7,0.2,H-prop,
2026-06-28,Sal Stewart,CIN,1B/3B,4700,5.2,7.0,1.1,H-prop,
2026-06-28,Eugenio Suarez,CIN,3B,3800,5.0,6.6,1.6,H-prop,
2026-06-28,Noelvi Marte,CIN,OF,2600,5.1,6.9,8.9,H-prop,
2026-06-28,Mitch Keller,PIT,P,6900,14.9,14.9,12.8,P-prop,
2026-06-28,JJ Bleday,CIN,OF,4800,6.5,9.0,1.1,H-prop,
2026-06-28,Tyler Stephenson,CIN,C,2900,4.4,5.6,3.9,H-prop,
2026-06-28,Edwin Arroyo,CIN,2B/SS,2300,2.5,2.5,1.1,H-prop,
2026-06-28,Elly De La Cruz,CIN,SS,5100,8.0,9.9,5.7,H-prop,
2026-06-28,Spencer Steer,CIN,1B/OF,4100,6.1,7.9,3.1,H-prop,
2026-06-28,Brady Singer,CIN,P,6500,14.2,14.2,13.3,P-prop,
2026-06-28,Ernie Clement,TOR,2B/SS,2800,4.0,4.9,3.7,H-prop,
2026-06-28,Kazuma Okamoto,TOR,3B,3400,5.7,8.2,4.7,H-prop,
2026-06-28,Alejandro Kirk,TOR,C,3400,4.4,5.8,1.3,H-prop,
2026-06-28,Brandon Nimmo,TEX,OF,3500,5.7,6.7,3.6,H-prop,
2026-06-28,Joc Pederson,TEX,1B,3100,5.1,7.1,7.5,H-prop,
2026-06-28,Alejandro Osuna,TEX,OF,2300,3.7,3.7,3.5,H-prop,
2026-06-28,Vladimir Guerrero Jr.,TOR,1B,4600,5.1,5.6,0.7,H-prop,
2026-06-28,Daulton Varsho,TOR,OF,3000,5.2,6.3,3.4,H-prop,
2026-06-28,Jake Burger,TEX,1B,3500,5.0,6.9,4.6,H-prop,
2026-06-28,Corey Seager,TEX,SS,4500,6.0,8.0,2.5,H-prop,
2026-06-28,Jarred Kelenic,TEX,OF,2100,3.3,3.9,3.2,H-prop,
2026-06-28,Kyle Higashioka,TEX,C,2900,4.1,5.5,2.4,H-prop,
2026-06-28,Shane Bieber,TOR,P,8500,15.3,15.3,6.8,P-prop,
2026-06-28,Yohendrick Pinango,TOR,OF,2500,5.5,7.0,7.9,H-prop,
2026-06-28,Kumar Rocker,TEX,P,6500,12.1,12.1,7.6,P-prop,
2026-06-28,Andres Gimenez,TOR,SS,2600,4.9,6.0,14.1,H-prop,
2026-06-28,Nicky Lopez,TEX,2B/SS,2500,4.7,5.2,12.9,H-prop,
2026-06-28,Nathan Lukes,TOR,OF,2500,4.0,4.8,2.6,H-prop,
2026-06-28,Josh Jung,TEX,3B,4300,4.4,5.4,0.5,H-prop,
2026-06-28,Gabriel Moreno,ARI,C,4000,6.5,7.7,1.3,H-prop,
2026-06-28,Pavin Smith,ARI,1B,2300,2.3,3.0,0.4,H-prop,
2026-06-28,Tommy Troy,ARI,OF,2500,5.4,6.7,6.9,H-prop,
2026-06-28,Nolan Arenado,ARI,3B,3200,5.0,6.2,3.5,H-prop,
2026-06-28,Ketel Marte,ARI,2B,5100,5.2,7.0,0.5,H-prop,
2026-06-28,Merrill Kelly,ARI,P,6200,11.7,11.7,8.0,P-prop,
2026-06-28,Drew Rasmussen,TB,P,10000,19.5,19.5,11.7,P-prop,
2026-06-28,Lourdes Gurriel Jr.,ARI,OF,2800,3.8,4.1,1.4,H-prop,
2026-06-28,Geraldo Perdomo,ARI,SS,4000,4.2,4.8,0.8,H-prop,
2026-06-28,Corbin Carroll,ARI,OF,5600,5.6,7.3,0.2,H-prop,
2026-06-28,Randy Arozarena,SEA,OF,5000,7.1,8.2,2.1,H-prop,
2026-06-28,Petey Halpin,CLE,OF,2500,6.3,7.7,12.6,H-prop,
2026-06-28,Steven Kwan,CLE,OF,3000,3.1,3.2,0.6,H-prop,
2026-06-28,Emerson Hancock,SEA,P,7800,14.8,14.8,8.1,P-prop,
2026-06-28,Daniel Schneemann,CLE,3B/OF,2400,4.6,5.7,7.5,H-prop,
2026-06-28,J.P. Crawford,SEA,3B/SS,3400,5.1,6.7,8.5,H-prop,
2026-06-28,Patrick Bailey,CLE,C,2100,3.1,3.6,2.1,H-prop,
2026-06-28,Kahlil Watson,CLE,OF,2400,6.4,7.9,15.3,H-prop,
2026-06-28,Dominic Canzone,SEA,OF,3800,7.2,9.6,5.7,H-prop,
2026-06-28,Cal Raleigh,SEA,C,4500,4.8,6.3,0.8,H-prop,
2026-06-28,Brayan Rocchio,CLE,SS,3200,5.1,5.8,7.8,H-prop,
2026-06-28,Cole Young,SEA,2B,3000,4.6,5.5,12.7,H-prop,
2026-06-28,Julio Rodriguez,SEA,OF,4900,4.9,6.6,0.6,H-prop,
2026-06-28,Gavin Williams,CLE,P,9400,20.0,20.0,15.9,P-prop,
2026-06-28,Luke Raley,SEA,OF,3900,6.9,9.6,4.5,H-prop,
2026-06-28,Kyle Manzardo,CLE,1B,2700,5.2,6.7,9.8,H-prop,
2026-06-28,Travis Bazzana,CLE,2B,4600,4.9,6.3,0.6,H-prop,
2026-06-28,Colt Emerson,SEA,SS,3800,6.1,8.6,9.8,H-prop,
2026-06-28,Josh Naylor,SEA,1B,4500,4.6,5.6,1.3,H-prop,
2026-06-28,James Outman,DET,OF,2200,4.7,5.6,8.5,H-prop,
2026-06-28,Kevin McGonigle,DET,3B/SS,4800,4.8,5.5,0.4,H-prop,
2026-06-28,Riley Greene,DET,OF,4200,4.8,5.9,0.4,H-prop,
2026-06-28,Yainer Diaz,HOU,C,3200,5.0,5.9,7.0,H-prop,
2026-06-28,Jose Altuve,HOU,2B,3800,6.1,7.4,7.0,H-prop,
2026-06-28,Isaac Paredes,HOU,1B/3B,3700,5.6,6.9,5.3,H-prop,
2026-06-28,Matt Vierling,DET,OF,2900,3.5,4.5,1.1,H-prop,
2026-06-28,Hunter Brown,HOU,P,10500,20.3,20.3,11.4,P-prop,
2026-06-28,Christian Walker,HOU,1B,4000,5.6,7.8,4.0,H-prop,
2026-06-28,Yordan Alvarez,HOU,OF,6000,7.7,10.7,1.5,H-prop,
2026-06-28,Dillon Dingler,DET,C,5300,5.1,7.7,0.3,H-prop,
2026-06-28,Cam Smith,HOU,OF,2500,5.5,6.7,21.4,H-prop,
2026-06-28,Kerry Carpenter,DET,OF,3600,5.6,8.3,1.3,H-prop,
2026-06-28,Hao-Yu Lee,DET,2B,2600,4.5,5.5,8.7,H-prop,
2026-06-28,Joey Loperfido,HOU,OF,2600,4.6,5.0,10.0,H-prop,
2026-06-28,Jeremy Pena,HOU,SS,4700,4.4,5.7,1.5,H-prop,
2026-06-28,Zach McKinstry,DET,2B/SS,2300,3.1,3.5,3.6,H-prop,
2026-06-28,Colt Keith,DET,3B,2700,4.7,5.6,6.5,H-prop,
2026-06-28,Jack Flaherty,DET,P,7300,15.2,15.2,11.3,P-prop,
2026-06-28,Taylor Trammell,HOU,OF,2700,7.1,8.0,39.9,H-prop,
2026-06-28,Luis Torrens,NYM,C,2200,2.8,3.1,0.7,H-prop,
2026-06-28,Bo Bichette,NYM,3B/SS,4400,5.4,6.6,0.9,H-prop,
2026-06-28,Brandon Marsh,PHI,OF,4600,4.5,6.2,0.3,H-prop,
