date,gid,race,track_type,driver,driver_id,start,start_estimated,salary,proj,sd,floor,ceil,own,leverage
2026-09-27,153814,Hollywood Casino 400,intermediate,Kyle Larson,4030,15,1,11000,30.08,28.07,7.11,68.89,8.6,37.1
2026-09-27,153814,Hollywood Casino 400,intermediate,Denny Hamlin,1361,3,1,10500,32.45,27.09,14.41,64.74,7.6,77.1
2026-09-27,153814,Hollywood Casino 400,intermediate,Christopher Bell,4153,1,1,10200,34.4,28.51,16.62,66.64,10.9,45.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Tyler Reddick,4065,19,1,10000,29.0,26.22,7.56,65.7,7.2,42.9
2026-09-27,153814,Hollywood Casino 400,intermediate,Ryan Blaney,4023,8,1,9800,32.8,33.67,4.86,77.44,19.1,25.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Chase Briscoe,4228,6,1,9600,29.16,29.67,9.0,66.25,8.4,25.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Ty Gibbs,4368,4,1,9400,33.5,30.64,13.09,72.16,20.5,17.1
2026-09-27,153814,Hollywood Casino 400,intermediate,Bubba Wallace,4025,9,1,9200,29.63,27.32,9.37,64.99,8.5,28.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Chase Elliott,4062,22,1,9000,29.79,24.12,10.29,63.36,7.8,48.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Joey Logano,3859,2,1,8700,37.63,31.79,16.28,76.83,37.1,11.4
2026-09-27,153814,Hollywood Casino 400,intermediate,William Byron,4184,10,1,8500,28.02,27.96,6.23,65.16,9.0,-20.0
2026-09-27,153814,Hollywood Casino 400,intermediate,Carson Hocevar,4326,14,1,8300,28.04,27.34,6.1,63.75,8.4,-8.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Chris Buescher,3989,23,1,8100,29.19,23.5,11.0,61.45,8.0,37.1
2026-09-27,153814,Hollywood Casino 400,intermediate,Brad Keselowski,1816,13,1,7900,27.25,25.66,7.69,61.48,7.2,5.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Ross Chastain,4001,18,1,7700,27.36,25.77,6.0,61.88,8.0,-5.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Austin Cindric,4180,5,1,7500,28.25,26.18,11.12,59.66,7.6,14.3
2026-09-27,153814,Hollywood Casino 400,intermediate,Alex Bowman,4045,12,1,7300,26.03,26.04,5.27,60.33,7.0,0.0
2026-09-27,153814,Hollywood Casino 400,intermediate,Josh Berry,4123,11,1,7100,26.06,26.26,5.01,59.78,7.2,-5.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Ryan Preece,4070,7,1,7000,29.04,25.01,12.31,60.22,10.3,2.9
2026-09-27,153814,Hollywood Casino 400,intermediate,Daniel Suárez,4113,16,1,6900,26.16,25.28,6.0,60.11,8.0,-20.0
2026-09-27,153814,Hollywood Casino 400,intermediate,Erik Jones,4059,27,1,6700,27.31,22.62,9.39,59.34,9.1,-28.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Riley Herbst,4269,33,1,6500,28.29,21.09,10.02,58.87,10.5,-14.3
2026-09-27,153814,Hollywood Casino 400,intermediate,Shane Van Gisbergen,4469,17,1,6400,31.02,27.15,10.29,69.54,38.7,-5.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Connor Zilisch,4481,32,1,6200,28.68,21.12,11.06,59.23,13.1,-14.3
2026-09-27,153814,Hollywood Casino 400,intermediate,AJ Allmendinger,3774,29,1,6000,29.8,21.17,13.6,60.96,19.3,-2.9
2026-09-27,153814,Hollywood Casino 400,intermediate,Zane Smith,4272,31,1,5900,28.26,21.31,10.29,58.91,14.2,-25.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Michael McDowell,3832,20,1,5800,28.66,23.67,10.0,61.26,19.5,-37.1
2026-09-27,153814,Hollywood Casino 400,intermediate,John H. Nemechek,4092,26,1,5700,29.25,21.15,12.41,59.68,19.2,-8.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Austin Hill,4133,35,1,5600,28.99,19.93,14.0,57.55,16.4,-17.1
2026-09-27,153814,Hollywood Casino 400,intermediate,Austin Dillon,3873,21,1,5500,30.12,22.98,12.68,62.09,30.3,-8.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Ricky Stenhouse Jr,3888,30,1,5300,30.43,20.7,15.35,59.66,29.1,-2.9
2026-09-27,153814,Hollywood Casino 400,intermediate,Todd Gilliland,4231,24,1,5200,30.52,22.35,13.04,62.12,39.7,-11.4
2026-09-27,153814,Hollywood Casino 400,intermediate,Noah Gragson,4224,28,1,5100,28.23,20.91,12.04,58.11,22.0,-54.3
2026-09-27,153814,Hollywood Casino 400,intermediate,Cole Custer,4104,25,1,4900,29.1,22.65,11.06,62.79,44.2,-48.6
2026-09-27,153814,Hollywood Casino 400,intermediate,Ty Dillon,4013,34,1,4700,29.85,20.1,15.64,59.55,41.3,-25.7
2026-09-27,153814,Hollywood Casino 400,intermediate,Cody Ware,4125,36,1,4500,26.55,17.69,13.21,52.22,17.3,-54.3
