date,gid,player,team,opp_team,dk_pos,salary,proj,sd,own,leverage,band_points,game,games
2026-09-26,153831,Julian Sayin,OSU,IL,QB,9200,21.1,11.767600000000002,3.9,43.5,0.62,6182558,12
2026-09-26,153831,Katin Houser,IL,OSU,QB,5200,9.2,9.911200000000001,1.3,0.0,2.06,6182558,12
2026-09-26,153831,Brandon Inniss,OSU,IL,WR,4400,6.5,6.09235,1.9,3.5,0.77,6182558,12
2026-09-26,153831,Brayden Trimble,IL,OSU,WR,3800,6.6,6.1223399999999994,3.4,-15.8,1.42,6182558,12
2026-09-26,153831,Devin McCuin,OSU,IL,WR,5600,7.8,6.48222,1.6,22.8,1.36,6182558,12
2026-09-26,153831,Hudson Clement,IL,OSU,WR,4400,11.8,7.68182,27.4,-12.3,2.05,6182558,12
2026-09-26,153831,Jeremiah Smith,OSU,IL,WR,8900,25.0,11.6405,34.5,3.5,3.34,6182558,12
2026-09-26,153831,Nate Roberts,OSU,IL,WR,3700,4.7,5.55253,1.2,-5.3,1.13,6182558,12
2026-09-26,153831,Bo Jackson,OSU,IL,RB,7700,13.4,8.93084,7.6,17.4,0.39,6182558,12
2026-09-26,153831,Ca'Lil Valentine,IL,OSU,RB,5800,5.0,6.809,1.0,0.0,0.18,6182558,12
2026-09-26,153831,DJ Lagway,BAY,COL,QB,8200,16.7,11.0812,2.3,13.0,0.74,6182325,12
2026-09-26,153831,Gavin Freeman,BAY,COL,WR,5500,13.3,8.13167,15.4,1.8,0.52,6182325,12
2026-09-26,153831,Caden Knighten,BAY,COL,RB,4800,7.0,7.3142000000000005,3.9,-13.0,0.23,6182325,12
2026-09-26,153831,Dawson Pendergrass,BAY,COL,RB,6400,12.1,8.60246,10.8,-8.7,0.31,6182325,12
2026-09-26,153831,DeKalon Taylor,COL,BAY,RB,5400,5.1,6.8342600000000004,1.2,0.0,0.17,6182325,12
2026-09-26,153831,Micah Welch,COL,BAY,RB,4400,6.6,7.21316,4.3,-30.4,0.25,6182325,12
2026-09-26,153831,Arch Manning,TEX,TENN,QB,8700,21.9,11.8924,6.1,21.7,0.96,6182210,12
2026-09-26,153831,Faizon Brandon,TENN,TEX,QB,7400,17.7,11.237200000000001,4.7,-4.3,1.53,6182210,12
2026-09-26,153831,Braylon Staley,TENN,TEX,WR,5100,12.2,7.801779999999999,14.5,-1.8,1.23,6182210,12
2026-09-26,153831,Cam Coleman,TEX,TENN,WR,7300,9.4,6.962059999999999,1.3,40.4,0.35,6182210,12
2026-09-26,153831,Mike Matthews,TENN,TEX,WR,6800,13.7,8.251629999999999,6.3,28.1,1.41,6182210,12
2026-09-26,153831,Radarious Jackson,TENN,TEX,WR,3700,4.7,5.55253,1.2,-5.3,0.38,6182210,12
2026-09-26,153831,Ryan Wingo,TEX,TENN,WR,6900,7.7,6.45223,0.9,36.8,0.17,6182210,12
2026-09-26,153831,DeSean Bishop,TENN,TEX,RB,7900,13.5,8.9561,7.1,26.1,0.39,6182210,12
2026-09-26,153831,Hollywood Smothers,TEX,TENN,RB,7500,9.5,7.9457,2.5,13.0,0.26,6182210,12
2026-09-26,153831,Gio Lopez,WAKE,UL,QB,6800,19.0,11.440000000000001,10.9,-17.4,0.99,6182428,12
2026-09-26,153831,Lincoln Kienholz,UL,WAKE,QB,9000,23.6,12.157600000000002,7.6,26.1,0.86,6182428,12
2026-09-26,153831,Antonio Meeks,WAKE,UL,WR,4200,6.9,6.21231,2.8,-7.0,1.51,6182428,12
2026-09-26,153831,Carlos Hernandez,WAKE,UL,WR,6000,16.9,9.21131,34.5,0.0,2.68,6182428,12
2026-09-26,153831,Jaleel Skinner,UL,WAKE,WR,4000,6.3,6.03237,2.4,-7.0,0.24,6182428,12
2026-09-26,153831,Kam Shanks,WAKE,UL,WR,4300,5.3,5.732469999999999,1.1,8.8,0.99,6182428,12
2026-09-26,153831,Lawayne McCoy,UL,WAKE,WR,5600,11.7,7.6518299999999995,7.5,5.3,1.09,6182428,12
2026-09-26,153831,Tre Richardson,UL,WAKE,WR,6300,13.3,8.13167,7.8,15.8,1.49,6182428,12
2026-09-26,153831,TreyShun Hurry,UL,WAKE,WR,3900,8.0,6.542199999999999,6.9,-21.1,1.29,6182428,12
2026-09-26,153831,Isaac Brown,UL,WAKE,RB,6900,13.3,8.90558,11.8,0.0,0.39,6182428,12
2026-09-26,153831,Keyjuan Brown,UL,WAKE,RB,6200,12.8,8.77928,16.3,-13.0,0.42,6182428,12
2026-09-26,153831,Malik Washington,UMD,UCLA,QB,7200,20.2,11.6272,11.1,-13.0,0.78,6182590,12
2026-09-26,153831,Nico Iamaleava,UCLA,UMD,QB,7500,19.9,11.580400000000001,8.1,-4.3,1.79,6182590,12
2026-09-26,153831,Kaleb Webb,UMD,UCLA,WR,4200,11.7,7.6518299999999995,34.5,-21.1,1.49,6182590,12
2026-09-26,153831,Landon Ellis,UCLA,UMD,WR,4400,7.0,6.2423,2.5,1.8,0.71,6182590,12
2026-09-26,153831,Na'eem Abdul-Rahim Gladding,UMD,UCLA,WR,5300,13.1,8.07169,17.3,-3.5,1.39,6182590,12
2026-09-26,153831,Semaj Morgan,UCLA,UMD,WR,5000,10.7,7.351929999999999,8.3,-7.0,1.58,6182590,12
2026-09-26,153831,Iverson Howard,UMD,UCLA,RB,5800,10.3,8.147780000000001,8.3,-13.0,0.37,6182590,12
2026-09-26,153831,Wayne Knight,UCLA,UMD,RB,8400,13.9,9.05714,6.2,34.8,0.38,6182590,12
2026-09-26,153831,CJ Carr,ND,PUR,QB,8400,17.4,11.1904,2.4,13.0,0.89,6182655,12
2026-09-26,153831,Ryan Browne,PUR,ND,QB,4900,11.4,10.2544,4.1,-34.8,1.45,6182655,12
2026-09-26,153831,Asaad Waseem,PUR,ND,WR,5800,10.8,7.38192,4.5,12.3,1.57,6182655,12
2026-09-26,153831,Chauncey Magwood,PUR,ND,WR,4100,8.6,6.72214,7.6,-19.3,1.1,6182655,12
2026-09-26,153831,De'Nylon Morrissette,PUR,ND,WR,3300,4.9,5.61251,2.0,-15.8,1.11,6182655,12
2026-09-26,153831,Jordan Faison,ND,PUR,WR,6100,9.8,7.08202,2.6,19.3,0.32,6182655,12
2026-09-26,153831,Micah Gilbert,ND,PUR,WR,4100,8.3,6.63217,6.5,-15.8,0.16,6182655,12
2026-09-26,153831,Xavier Townsend,PUR,ND,WR,5400,9.5,6.99205,3.6,7.0,1.72,6182655,12
2026-09-26,153831,Aneyas Williams,ND,PUR,RB,6600,8.5,7.6931,2.6,4.3,0.31,6182655,12
2026-09-26,153831,Fame Ijeboi,PUR,ND,RB,6800,6.9,7.28894,1.4,4.3,0.24,6182655,12
2026-09-26,153831,John Mateer,OU,UGA,QB,6100,14.0,10.66,3.9,-17.4,2.24,6182206,12
2026-09-26,153831,Gunner Stockton,UGA,OU,QB,8000,18.5,11.362000000000002,4.0,17.4,1.56,6182206,12
2026-09-26,153831,Rocky Beers,OU,UGA,WR,3900,4.2,5.40258,0.8,-1.8,0.48,6182206,12
2026-09-26,153831,Sacovie White-Helton,UGA,OU,WR,4700,4.7,5.55253,0.7,7.0,0.4,6182206,12
2026-09-26,153831,Lloyd Avant,OU,UGA,RB,5700,5.0,6.809,1.0,0.0,0.17,6182206,12
2026-09-26,153831,Aaron Philo,UF,MISS,QB,7900,18.1,11.299600000000002,3.8,26.1,1.34,6182205,12
2026-09-26,153831,Trinidad Chambliss,MISS,UF,QB,7700,22.6,12.001600000000002,14.6,0.0,0.89,6182205,12
2026-09-26,153831,Bailey Stockton,UF,MISS,WR,3400,5.1,5.67249,2.0,-15.8,1.04,6182205,12
2026-09-26,153831,Caleb Odom,MISS,UF,WR,4300,10.6,7.32194,17.0,-22.8,1.51,6182205,12
2026-09-26,153831,Dallas Wilson,UF,MISS,WR,6400,11.4,7.561859999999999,3.8,21.1,1.59,6182205,12
2026-09-26,153831,Deuce Alexander,MISS,UF,WR,7600,16.7,9.15133,9.5,15.8,2.04,6182205,12
2026-09-26,153831,Horatio Fields,MISS,UF,WR,4800,10.6,7.32194,9.7,-14.0,1.59,6182205,12
2026-09-26,153831,Traylon Ray,MISS,UF,WR,4600,8.5,6.69215,4.4,-5.3,1.07,6182205,12
2026-09-26,153831,Jadan Baugh,UF,MISS,RB,9100,18.9,10.320139999999999,16.8,17.4,0.73,6182205,12
2026-09-26,153831,Kewan Lacy,MISS,UF,RB,7600,10.2,8.12252,3.0,13.0,0.25,6182205,12
2026-09-26,153831,Devon Dampier,UTAH,ISU,QB,8800,21.4,11.814400000000001,5.1,21.7,1.46,6182324,12
2026-09-26,153831,Jaylen Raynor,ISU,UTAH,QB,6300,12.7,10.4572,2.2,4.3,2.98,6182324,12
2026-09-26,153831,Braden Pegan,UTAH,ISU,WR,6700,12.7,7.9517299999999995,4.9,22.8,1.62,6182324,12
2026-09-26,153831,Noah Bennee,UTAH,ISU,WR,3700,5.5,5.79245,2.0,-8.8,0.96,6182324,12
2026-09-26,153831,Omari Hayes,ISU,UTAH,WR,3900,7.0,6.2423,3.9,-15.8,1.42,6182324,12
2026-09-26,153831,Ricky Johnson,UTAH,ISU,WR,4000,6.5,6.09235,2.7,-10.5,0.77,6182324,12
2026-09-26,153831,Wayshawn Parker,UTAH,ISU,RB,7200,15.8,9.53708,22.1,0.0,1.38,6182324,12
2026-09-26,153831,Aiden Flora,ISU,UTAH,RB,5600,12.8,8.77928,27.4,-26.1,0.42,6182324,12
2026-09-26,153831,Byrd Ficklin,UTAH,ISU,QB,8100,4.6,9.1936,0.5,0.0,0.21,6182324,12
2026-09-26,153831,Bryce Underwood,MICH,IOWA,QB,5900,17.4,11.1904,15.0,-52.2,2.66,6182580,12
2026-09-26,153831,Hank Brown,IOWA,MICH,QB,5400,8.9,9.864400000000002,1.0,0.0,2.55,6182580,12
2026-09-26,153831,Andrew Marsh,MICH,IOWA,WR,5200,11.1,7.47189,8.3,-5.3,1.22,6182580,12
2026-09-26,153831,DJ Vonnahme,IOWA,MICH,WR,4100,7.6,6.4222399999999995,4.5,-19.3,1.16,6182580,12
2026-09-26,153831,JJ Buchanan,MICH,IOWA,WR,5400,12.1,7.771789999999999,10.4,-1.8,1.37,6182580,12
2026-09-26,153831,Reece Vander Zee,IOWA,MICH,WR,3400,5.6,5.822439999999999,2.8,-21.1,0.95,6182580,12
2026-09-26,153831,Tony Diaz,IOWA,MICH,WR,5500,15.3,8.73147,34.2,0.0,2.33,6182580,12
2026-09-26,153831,Jordan Marshall,MICH,IOWA,RB,7400,8.2,7.617319999999999,1.7,13.0,0.19,6182580,12
2026-09-26,153831,Jaden Craig,TCU,UCF,QB,7000,14.2,10.6912,2.2,8.7,1.09,6182320,12
2026-09-26,153831,Keyone Jenkins,UCF,TCU,QB,6400,14.9,10.800400000000002,4.1,-21.7,2.78,6182320,12
2026-09-26,153831,Dylan Wade,UCF,TCU,WR,4100,3.0,5.0427,0.4,0.0,0.69,6182320,12
2026-09-26,153831,Ed Small,TCU,UCF,WR,5900,10.4,7.26196,3.6,8.8,0.29,6182320,12
2026-09-26,153831,Jeremy Scott,TCU,UCF,WR,3300,5.1,5.67249,2.3,-17.5,0.35,6182320,12
2026-09-26,153831,Josh Derry,UCF,TCU,WR,3500,4.6,5.522539999999999,1.4,-12.3,0.4,6182320,12
2026-09-26,153831,Kari Ashley,TCU,UCF,WR,5700,5.1,5.67249,0.5,15.8,0.34,6182320,12
2026-09-26,153831,Waden Charles,UCF,TCU,WR,3900,6.7,6.152329999999999,3.3,-12.3,0.22,6182320,12
2026-09-26,153831,Duke Watson,UCF,TCU,RB,5700,11.9,8.55194,17.2,-30.4,0.31,6182320,12
2026-09-26,153831,Jeremy Payne,TCU,UCF,RB,6300,16.1,9.612860000000001,49.0,-4.3,0.55,6182320,12
2026-09-26,153831,Byrum Brown,AUB,VAND,QB,8500,28.3,12.890800000000002,33.0,0.0,1.05,6182204,12
2026-09-26,153831,Jared Curtis,VAND,AUB,QB,6600,17.5,11.206000000000001,8.1,-30.4,1.35,6182204,12
2026-09-26,153831,Chas Nimrod,AUB,VAND,WR,5700,7.7,6.45223,1.5,26.3,0.17,6182204,12
2026-09-26,153831,Jayvontay Conner,VAND,AUB,WR,3500,3.9,5.312609999999999,0.9,-7.0,0.49,6182204,12
2026-09-26,153831,Jeremiah Koger,AUB,VAND,WR,4300,5.8,5.88242,1.5,5.3,0.29,6182204,12
2026-09-26,153831,Junior Sherrill,VAND,AUB,WR,5100,10.4,7.26196,6.7,-5.3,0.29,6182204,12
2026-09-26,153831,Keshaun Singleton,AUB,VAND,WR,6600,10.5,7.29195,2.5,26.3,0.28,6182204,12
2026-09-26,153831,Tristen Brown,VAND,AUB,WR,3900,5.3,5.732469999999999,1.5,-1.8,0.32,6182204,12
2026-09-26,153831,Jeremiah Cobb,AUB,VAND,RB,6500,10.0,8.072,4.7,-4.3,0.25,6182204,12
2026-09-26,153831,Sedrick Alexander,VAND,AUB,RB,5900,6.9,7.28894,2.0,0.0,0.23,6182204,12
