date,gid,player,team,opp_team,dk_pos,salary,proj,sd,own,leverage,game,games
2026-09-13,151307,Khalil Shakir,BUF,HOU,WR,4800,8.5,6.7905,3.3,1.4,6175952,12
2026-09-13,151307,Xavier Hutchinson,HOU,BUF,WR,3200,4.3,5.2911,1.4,-11.6,6175952,12
2026-09-13,151307,Joshua Palmer,BUF,HOU,WR,3500,2.3,4.5771,0.3,0.0,6175952,12
2026-09-13,151307,Kayshon Boutte,HOU,BUF,WR,4500,5.4,5.6838,1.0,10.1,6175952,12
2026-09-13,151307,C.J. Stroud,HOU,BUF,QB,5200,15.6,8.57904,3.1,-27.3,6175952,12
2026-09-13,151307,Dalton Schultz,HOU,BUF,TE,3400,8.3,6.187340000000001,7.6,-32.1,6175952,12
2026-09-13,151307,Dawson Knox,BUF,HOU,TE,3100,3.0,3.6444,0.5,0.0,6175952,12
2026-09-13,151307,Keon Coleman,BUF,HOU,WR,4000,2.3,4.5771,0.3,0.0,6175952,12
2026-09-13,151307,Josh Allen,BUF,HOU,QB,7000,18.7,8.698080000000001,0.7,59.1,6175952,12
2026-09-13,151307,Jaylin Noel,HOU,BUF,WR,3600,3.5,5.0055,0.6,1.4,6175952,12
2026-09-13,151307,Woody Marks,HOU,BUF,RB,5000,6.5,6.272550000000001,1.9,-2.7,6175952,12
2026-09-13,151307,David Montgomery,HOU,BUF,RB,6000,11.6,7.68372,6.0,10.8,6175952,12
2026-09-13,151307,DJ Moore,BUF,HOU,WR,5600,10.2,7.397399999999999,3.7,11.6,6175952,12
2026-09-13,151307,Dalton Kincaid,BUF,HOU,TE,4600,8.9,6.47522,3.0,17.9,6175952,12
2026-09-13,151307,Nico Collins,HOU,BUF,WR,7000,15.3,9.2181,8.1,13.0,6175952,12
2026-09-13,151307,Tetairoa McMillan,CAR,CHI,WR,6100,13.1,8.432699999999999,7.4,5.8,6176168,12
2026-09-13,151307,Cole Kmet,CHI,CAR,TE,3300,3.6,3.9322800000000004,0.6,0.0,6176168,12
2026-09-13,151307,Darren Waller,CAR,CHI,TE,3200,4.2,4.22016,0.9,3.6,6176168,12
2026-09-13,151307,Xavier Legette,CAR,CHI,WR,3700,4.4,5.3267999999999995,1.0,1.4,6176168,12
2026-09-13,151307,Kyle Monangai,CHI,CAR,RB,5100,6.0,6.1342,1.5,0.0,6176168,12
2026-09-13,151307,Tommy Tremble,CAR,CHI,TE,2900,2.6,3.4524800000000004,0.4,3.6,6176168,12
2026-09-13,151307,Chuba Hubbard,CAR,CHI,RB,5500,10.5,7.3793500000000005,5.7,5.4,6176168,12
2026-09-13,151307,Luther Burden III,CHI,CAR,WR,5500,12.8,8.3256,10.9,-5.8,6176168,12
2026-09-13,151307,Jalen Coker,CAR,CHI,WR,4600,9.3,7.0761,5.7,-15.9,6176168,12
2026-09-13,151307,D'Andre Swift,CHI,CAR,RB,6100,12.5,7.93275,7.4,5.4,6176168,12
2026-09-13,151307,Jonathon Brooks,CAR,CHI,RB,5000,7.0,6.4109,2.3,0.0,6176168,12
2026-09-13,151307,Colston Loveland,CHI,CAR,TE,5300,12.2,8.05856,5.9,14.3,6176168,12
2026-09-13,151307,Bryce Young,CAR,CHI,QB,5200,16.1,8.59824,4.7,-40.9,6176168,12
2026-09-13,151307,Rome Odunze,CHI,CAR,WR,5400,8.4,6.7547999999999995,2.1,10.1,6176168,12
2026-09-13,151307,Kalif Raymond,CHI,CAR,WR,3300,3.4,4.969799999999999,0.7,-2.9,6176168,12
2026-09-13,151307,Caleb Williams,CHI,CAR,QB,6300,18.8,8.701920000000001,2.9,36.4,6176168,12
2026-09-13,151307,Trevor Lawrence,JAX,CLE,QB,5800,18.3,8.68272,6.1,-9.1,6176030,12
2026-09-13,151307,Brenton Strange,JAX,CLE,TE,3600,8.0,6.0434,5.1,-21.4,6176030,12
2026-09-13,151307,Harold Fannin Jr.,CLE,JAX,TE,4200,8.9,6.47522,4.2,3.6,6176030,12
2026-09-13,151307,Jerry Jeudy,CLE,JAX,WR,4100,7.1,6.290699999999999,3.1,-7.2,6176030,12
2026-09-13,151307,Jakobi Meyers,JAX,CLE,WR,5000,8.4,6.7547999999999995,2.8,1.4,6176030,12
2026-09-13,151307,Denzel Boston,CLE,JAX,WR,4400,5.7,5.7909,1.2,2.9,6176030,12
2026-09-13,151307,KC Concepcion,CLE,JAX,WR,4600,8.1,6.6476999999999995,3.3,-7.2,6176030,12
2026-09-13,151307,Parker Washington,JAX,CLE,WR,5600,11.7,7.9329,6.6,-1.4,6176030,12
2026-09-13,151307,Quinshon Judkins,CLE,JAX,RB,5500,11.5,7.6560500000000005,8.0,-5.4,6176030,12
2026-09-13,151307,Chris Rodriguez Jr.,JAX,CLE,RB,5100,5.4,5.96818,1.2,2.7,6176030,12
2026-09-13,151307,Deshaun Watson,CLE,JAX,QB,4700,12.3,8.45232,0.6,-4.5,6176030,12
2026-09-13,151307,Brian Thomas Jr.,JAX,CLE,WR,5500,8.3,6.7191,1.9,10.1,6176030,12
2026-09-13,151307,Bhayshul Tuten,JAX,CLE,RB,5800,10.3,7.32401,4.5,8.1,6176030,12
2026-09-13,151307,Kyle Pitts Sr.,ATL,PIT,TE,4700,9.3,6.667140000000001,3.2,25.0,6176144,12
2026-09-13,151307,Jaylen Warren,PIT,ATL,RB,5400,11.2,7.573040000000001,7.7,-5.4,6176144,12
2026-09-13,151307,Aaron Rodgers,PIT,ATL,QB,5300,13.9,8.513760000000001,0.6,4.5,6176144,12
2026-09-13,151307,Pat Freiermuth,PIT,ATL,TE,3400,6.3,5.22774,2.6,3.6,6176144,12
2026-09-13,151307,Darnell Washington,PIT,ATL,TE,3000,3.9,4.07622,0.9,-3.6,6176144,12
2026-09-13,151307,Brian Robinson Jr.,ATL,PIT,RB,4700,2.8,5.24876,0.5,2.7,6176144,12
2026-09-13,151307,Roman Wilson,PIT,ATL,WR,3100,2.6,4.6842,0.5,-1.4,6176144,12
2026-09-13,151307,Drake London,ATL,PIT,WR,6500,12.2,8.1114,4.2,23.2,6176144,12
2026-09-13,151307,Michael Pittman Jr.,PIT,ATL,WR,4900,9.3,7.0761,4.4,-1.4,6176144,12
2026-09-13,151307,Cooper Rush,ATL,PIT,QB,4000,9.8,8.35632,0.3,0.0,6176144,12
2026-09-13,151307,Jahan Dotson,ATL,PIT,WR,3700,3.2,4.8984,0.5,0.0,6176144,12
2026-09-13,151307,Bijan Robinson,ATL,PIT,RB,7700,20.3,10.09101,21.3,0.0,6176144,12
2026-09-13,151307,DK Metcalf,PIT,ATL,WR,5400,10.5,7.5045,4.8,7.2,6176144,12
2026-09-13,151307,Rico Dowdle,PIT,ATL,RB,5200,10.2,7.29634,6.3,-5.4,6176144,12
2026-09-13,151307,Tony Pollard,TEN,NYJ,RB,5600,9.9,7.213330000000001,4.5,-2.7,6176114,12
2026-09-13,151307,Adonai Mitchell,NYJ,TEN,WR,4000,7.2,6.3264,3.6,-11.6,6176114,12
2026-09-13,151307,Calvin Ridley,TEN,NYJ,WR,4500,5.7,5.7909,1.1,5.8,6176114,12
2026-09-13,151307,Tyjae Spears,TEN,NYJ,RB,5100,8.4,6.79828,3.6,-2.7,6176114,12
2026-09-13,151307,Wan'Dale Robinson,TEN,NYJ,WR,4800,10.5,7.5045,8.1,-11.6,6176114,12
2026-09-13,151307,Garrett Wilson,NYJ,TEN,WR,5800,14.7,9.0039,16.9,-1.4,6176114,12
2026-09-13,151307,Omar Cooper Jr.,NYJ,TEN,WR,4100,3.3,4.9341,0.4,4.3,6176114,12
2026-09-13,151307,Carnell Tate,TEN,NYJ,WR,5300,8.6,6.8262,2.4,10.1,6176114,12
2026-09-13,151307,Geno Smith,NYJ,TEN,QB,4600,13.3,8.49072,1.9,-18.2,6176114,12
2026-09-13,151307,Mason Taylor,NYJ,TEN,TE,2800,5.2,4.699960000000001,2.6,-7.1,6176114,12
2026-09-13,151307,Gunnar Helm,TEN,NYJ,TE,3200,4.9,4.55602,1.4,3.6,6176114,12
2026-09-13,151307,Braelon Allen,NYJ,TEN,RB,4700,2.8,5.24876,0.5,2.7,6176114,12
2026-09-13,151307,Kenyon Sadiq,NYJ,TEN,TE,3800,3.5,3.8843,0.5,0.0,6176114,12
2026-09-13,151307,Breece Hall,NYJ,TEN,RB,6200,15.2,8.67984,15.3,-5.4,6176114,12
2026-09-13,151307,Devaughn Vele,NO,DET,WR,3500,9.1,7.0047,19.4,-43.5,6176012,12
2026-09-13,151307,Amon-Ra St. Brown,DET,NO,WR,7500,17.9,10.146299999999998,12.3,5.8,6176012,12
2026-09-13,151307,Juwan Johnson,NO,DET,TE,3700,10.0,7.003,12.4,-17.9,6176012,12
2026-09-13,151307,Travis Etienne Jr.,NO,DET,RB,5900,13.1,8.09877,10.1,-8.1,6176012,12
2026-09-13,151307,Isaac TeSlaa,DET,NO,WR,3900,3.8,5.1126,0.6,1.4,6176012,12
2026-09-13,151307,Jared Goff,DET,NO,QB,6000,17.4,8.64816,2.0,13.6,6176012,12
2026-09-13,151307,Chris Olave,NO,DET,WR,6700,17.4,9.967799999999999,19.3,0.0,6176012,12
