rank,room_pct,fair_odds,indep_odds,parlay,p,q,phi,fair_american,fair_decimal,game
1,40.6,240,378,Aaron Civale Over 15.5 outs + Los Angeles Angels Under 4.5,0.418,0.5,0.3438,240,3.403,Athletics @ Los Angeles Angels
2,40.1,229,360,Connor Prielipp Over 17.5 outs + Colorado Rockies Under 3.5,0.484,0.449,0.3504,229,3.286,Colorado Rockies @ Minnesota Twins
3,39.9,227,358,Shane Bieber Over 16.5 outs + Texas Rangers Under 3.5,0.476,0.459,0.3504,227,3.271,Texas Rangers @ Toronto Blue Jays
4,38.0,215,335,Hunter Brown Over 17.5 outs + Detroit Tigers Under 3.5,0.46,0.5,0.3504,215,3.151,Houston Astros @ Detroit Tigers
5,36.9,210,325,Anthony Kay Over 16.5 outs + Kansas City Royals Under 3.5,0.533,0.441,0.3504,210,3.104,Kansas City Royals @ Chicago White Sox
6,36.3,210,322,Ryan Feltner Over 16.5 outs + Minnesota Twins Under 4.5,0.484,0.489,0.3438,210,3.099,Colorado Rockies @ Minnesota Twins
7,35.5,199,305,Emerson Hancock Over 16.5 outs + Cleveland Guardians Under 3.5,0.504,0.489,0.3504,199,2.992,Seattle Mariners @ Cleveland Guardians
8,35.0,202,308,Tyler Phillips Over 15.5 outs + St. Louis Cardinals Under 4.5,0.511,0.48,0.3438,202,3.021,Miami Marlins @ St. Louis Cardinals
9,35.0,202,308,Chris Sale Over 18.5 outs + San Francisco Giants Under 3.5,0.429,0.571,0.3504,202,3.02,Atlanta Braves @ San Francisco Giants
10,33.9,191,290,Sonny Gray Over 17.5 outs + New York Yankees Under 3.5,0.546,0.469,0.3504,191,2.91,New York Yankees @ Boston Red Sox
11,33.8,194,294,Luinder Avila Over 14.5 outs + Chicago White Sox Under 4.5,0.508,0.5,0.3438,194,2.942,Kansas City Royals @ Chicago White Sox
12,33.1,190,286,Kumar Rocker Over 15.5 outs + Toronto Blue Jays Under 4.5,0.479,0.541,0.3438,190,2.903,Texas Rangers @ Toronto Blue Jays
13,32.3,179,270,Emmet Sheehan Over 15.5 outs + San Diego Padres Under 3.5,0.52,0.52,0.3504,179,2.794,Los Angeles Dodgers @ San Diego Padres
14,31.9,178,267,Gavin Williams Over 17.5 outs + Seattle Mariners Under 3.5,0.557,0.489,0.3504,178,2.782,Seattle Mariners @ Cleveland Guardians
15,31.6,180,269,Kyle Leahy Over 16.5 outs + Miami Marlins Under 4.5,0.521,0.52,0.3438,180,2.802,Miami Marlins @ St. Louis Cardinals
16,31.4,179,267,Michael King Over 16.5 outs + Los Angeles Dodgers Under 4.5,0.504,0.541,0.3438,179,2.791,Los Angeles Dodgers @ San Diego Padres
17,31.1,177,263,Brady Singer Over 16.5 outs + Pittsburgh Pirates Under 4.5,0.54,0.511,0.3438,177,2.767,Cincinnati Reds @ Pittsburgh Pirates
18,30.6,173,257,Merrill Kelly Over 17.5 outs + Tampa Bay Rays Under 4.5,0.528,0.531,0.3438,173,2.734,Arizona Diamondbacks @ Tampa Bay Rays
19,30.5,171,254,Kyle Bradish Over 17.5 outs + Washington Nationals Under 3.5,0.588,0.48,0.3504,171,2.714,Washington Nationals @ Baltimore Orioles
20,29.4,167,245,Mitch Keller Over 16.5 outs + Cincinnati Reds Under 4.5,0.519,0.559,0.3438,167,2.666,Cincinnati Reds @ Pittsburgh Pirates
21,27.8,156,228,Robbie Ray Over 17.5 outs + Atlanta Braves Under 4.5,0.546,0.559,0.3438,156,2.562,Atlanta Braves @ San Francisco Giants
22,26.6,145,210,Drew Rasmussen Over 17.5 outs + Arizona Diamondbacks Under 3.5,0.585,0.551,0.3504,145,2.448,Arizona Diamondbacks @ Tampa Bay Rays
23,18.6,341,423,Shane Bieber Over 5.5 strikeouts + Texas Rangers Under 3.5,0.416,0.459,0.145,341,4.409,Texas Rangers @ Toronto Blue Jays
24,17.7,318,392,Connor Prielipp Over 5.5 strikeouts + Colorado Rockies Under 3.5,0.453,0.449,0.145,318,4.183,Colorado Rockies @ Minnesota Twins
25,17.6,317,390,Kyle Bradish Over 6.5 strikeouts + Washington Nationals Under 3.5,0.425,0.48,0.145,317,4.171,Washington Nationals @ Baltimore Orioles
26,16.6,281,344,Zack Littell Over 3.5 strikeouts + Baltimore Orioles Under 4.5,0.511,0.441,0.1508,281,3.806,Washington Nationals @ Baltimore Orioles
27,16.4,280,342,Kumar Rocker Over 4.5 strikeouts + Toronto Blue Jays Under 4.5,0.419,0.541,0.1508,280,3.795,Texas Rangers @ Toronto Blue Jays
28,16.3,273,334,Aaron Civale Over 4.5 strikeouts + Los Angeles Angels Under 4.5,0.461,0.5,0.1508,273,3.733,Athletics @ Los Angeles Angels
29,16.1,273,333,Michael King Over 5.5 strikeouts + Los Angeles Dodgers Under 4.5,0.427,0.541,0.1508,273,3.726,Los Angeles Dodgers @ San Diego Padres
30,15.6,258,313,Tyler Phillips Over 3.5 strikeouts + St. Louis Cardinals Under 4.5,0.504,0.48,0.1508,258,3.577,Miami Marlins @ St. Louis Cardinals
31,15.3,257,312,Mitch Keller Over 5.5 strikeouts + Cincinnati Reds Under 4.5,0.435,0.559,0.1508,257,3.57,Cincinnati Reds @ Pittsburgh Pirates
32,15.2,267,322,Anthony Kay Over 4.5 strikeouts + Kansas City Royals Under 3.5,0.537,0.441,0.145,267,3.666,Kansas City Royals @ Chicago White Sox
33,14.8,243,294,Jack Flaherty Over 5.5 strikeouts + Houston Astros Under 4.5,0.47,0.541,0.1508,243,3.43,Houston Astros @ Detroit Tigers
