season,week,game_id,team,opp,is_home,off_plays,off_epa,off_pass_plays,off_pass_epa,off_rush_plays,off_rush_epa,off_success,off_plays_gt,off_epa_gt
2013,1,2013_01_ARI_STL,ARI,LA,0,70,3.6763,44,7.2727,26,-3.5964,34,70,3.6763
2013,1,2013_01_ARI_STL,LA,ARI,1,63,-2.3463,38,3.1558,25,-5.5021,28,63,-2.3463
2013,1,2013_01_ATL_NO,ATL,NO,0,55,-1.7127,41,-4.2748,14,2.5621,22,55,-1.7127
2013,1,2013_01_ATL_NO,NO,ATL,1,64,3.4657,37,12.5033,27,-9.0376,26,64,3.4657
2013,1,2013_01_BAL_DEN,BAL,DEN,0,87,-3.0335,66,3.3958,21,-6.4292,30,53,-3.983
2013,1,2013_01_BAL_DEN,DEN,BAL,1,66,22.9453,45,24.7401,21,-1.7949,32,45,15.8694
2013,1,2013_01_CIN_CHI,CHI,CIN,1,58,7.5314,32,8.2702,26,-0.7389,29,57,6.1091
2013,1,2013_01_CIN_CHI,CIN,CHI,0,54,3.2074,34,2.6149,20,0.5925,27,54,3.2074
2013,1,2013_01_GB_SF,GB,SF,0,57,10.272,38,12.7623,19,-2.4903,28,57,10.272
2013,1,2013_01_GB_SF,SF,GB,1,75,17.8703,41,25.442,34,-7.5717,35,74,17.6164
2013,1,2013_01_HOU_SD,HOU,LAC,0,75,8.1088,47,10.3471,28,-2.2383,36,73,3.239
2013,1,2013_01_HOU_SD,LAC,HOU,1,51,1.4608,31,2.1579,20,-0.6971,19,48,0.2233
2013,1,2013_01_KC_JAX,JAX,KC,1,70,-34.5945,47,-28.7408,23,-5.8538,19,32,-18.2396
2013,1,2013_01_KC_JAX,KC,JAX,0,61,-0.8283,35,-0.8028,26,-0.0255,26,36,7.9798
2013,1,2013_01_MIA_CLE,CLE,MIA,1,72,-12.5608,59,-11.0277,13,-1.5331,25,54,-9.568
2013,1,2013_01_MIA_CLE,MIA,CLE,0,62,-1.0957,42,7.673,20,-8.7687,23,59,0.3251
2013,1,2013_01_MIN_DET,DET,MIN,1,75,3.6844,43,5.4679,32,-1.7835,36,70,4.4742
