week,away_abbr,home_abbr,away_name,home_name,cbs_line_home,kickoff_utc,tv,comm_pct_away,comm_pct_home,note,fetched_at
1,NE,SEA,Patriots,Seahawks,-3.5,2026-09-10T00:20:00Z,NBC,32,68,,2026-09-14T23:00:14Z
1,SF,LAR,49ers,Rams,-3.5,2026-09-11T00:37:00Z,Netflix,27,73,,2026-09-14T23:00:14Z
1,BUF,HOU,Bills,Texans,-1.5,2026-09-13T17:00:00Z,CBS,71,29,CBS froze Texans favored -- watch for a flip,2026-09-14T23:00:14Z
1,TB,CIN,Buccaneers,Bengals,-3.5,2026-09-13T17:01:00Z,FOX,39,61,,2026-09-14T23:00:14Z
1,BAL,IND,Ravens,Colts,3.5,2026-09-13T17:01:00Z,CBS,65,35,,2026-09-14T23:00:14Z
1,CHI,CAR,Bears,Panthers,2.5,2026-09-13T17:01:00Z,FOX,80,20,,2026-09-14T23:00:14Z
1,NO,DET,Saints,Lions,-7.5,2026-09-13T17:01:00Z,FOX,27,73,,2026-09-14T23:00:14Z
1,CLE,JAX,Browns,Jaguars,-7.5,2026-09-13T17:01:00Z,CBS,23,77,,2026-09-14T23:00:14Z
1,ATL,PIT,Falcons,Steelers,-3.5,2026-09-13T17:01:00Z,FOX,21,79,,2026-09-14T23:00:14Z
1,NYJ,TEN,Jets,Titans,-2.5,2026-09-13T17:01:00Z,CBS,41,59,,2026-09-14T23:00:14Z
1,GB,MIN,Packers,Vikings,-1.5,2026-09-13T20:25:00Z,CBS,56,44,,2026-09-14T23:00:14Z
1,WSH,PHI,Commanders,Eagles,-4.5,2026-09-13T20:25:00Z,FOX,19,81,,2026-09-14T23:00:14Z
1,MIA,LV,Dolphins,Raiders,-3.5,2026-09-13T20:26:00Z,FOX,29,71,,2026-09-14T23:00:14Z
1,ARI,LAC,Cardinals,Chargers,-10.5,2026-09-13T20:26:00Z,CBS,42,58,,2026-09-14T23:00:14Z
1,DAL,NYG,Cowboys,Giants,2.5,2026-09-14T00:20:00Z,NBC,67,33,,2026-09-14T23:00:14Z
1,DEN,KC,Broncos,Chiefs,-2.5,2026-09-15T00:15:00Z,ABC,56,44,,2026-09-14T23:00:14Z
2,DET,BUF,Lions,Bills,-4.5,2026-09-18T00:15:00Z,,33,67,,2026-09-16T11:09:23Z
2,CIN,HOU,Bengals,Texans,-2.5,2026-09-20T17:01:00Z,,43,57,,2026-09-16T11:09:23Z
2,PIT,NE,Steelers,Patriots,-5.5,2026-09-20T17:01:00Z,,52,48,,2026-09-16T11:09:23Z
2,CLE,TB,Browns,Buccaneers,-8.5,2026-09-20T17:01:00Z,,21,79,,2026-09-16T11:09:23Z
2,CAR,ATL,Panthers,Falcons,1.5,2026-09-20T17:01:00Z,,70,30,,2026-09-16T11:09:23Z
2,NO,BAL,Saints,Ravens,-8.5,2026-09-20T17:01:00Z,,37,63,,2026-09-16T11:09:23Z
2,MIN,CHI,Vikings,Bears,-5.5,2026-09-20T17:01:00Z,,31,69,,2026-09-16T11:09:23Z
2,GB,NYJ,Packers,Jets,3.5,2026-09-20T17:01:00Z,,66,34,,2026-09-16T11:09:23Z
2,PHI,TEN,Eagles,Titans,7.5,2026-09-20T17:01:00Z,,84,16,,2026-09-16T11:09:23Z
2,JAX,DEN,Jaguars,Broncos,-2.5,2026-09-20T20:06:00Z,,55,45,,2026-09-16T11:09:23Z
2,LV,LAC,Raiders,Chargers,-6.5,2026-09-20T20:06:00Z,,48,52,,2026-09-16T11:09:23Z
2,WSH,DAL,Commanders,Cowboys,-3.5,2026-09-20T20:26:00Z,,38,62,,2026-09-16T11:09:23Z
2,SEA,ARI,Seahawks,Cardinals,3.5,2026-09-20T20:26:00Z,,74,26,,2026-09-16T11:09:23Z
2,MIA,SF,Dolphins,49ers,-13.5,2026-09-20T20:26:00Z,,27,73,,2026-09-16T11:09:23Z
2,IND,KC,Colts,Chiefs,-6.5,2026-09-21T00:21:00Z,,21,79,,2026-09-16T11:09:23Z
2,NYG,LAR,Giants,Rams,-7.5,2026-09-22T00:16:00Z,,65,35,,2026-09-16T11:09:23Z
