season,week,snapshot,captured_at,away_team,home_team,kickoff_utc,cbs_line_home,comm_pct_away,comm_pct_home,market_line_home,market_line_mean,market_line_median,market_total,n_books,book_disagreement,book_lines_json,board_age_seconds
2026,1,post,2026-09-08T17:11:20Z,NE,SEA,2026-09-10T00:15:00+00:00,,,,-3.188,-3.167,-3.0,44.5,3,0.5,"{""draftkings"": -3.0, ""fanatics"": -3.0, ""fanduel"": -3.5}",
2026,1,post,2026-09-08T17:11:20Z,SF,LAR,2026-09-11T00:35:00+00:00,,,,-3.5,-3.5,-3.5,48.5,3,0.0,"{""draftkings"": -3.5, ""fanatics"": -3.5, ""fanduel"": -3.5}",
2026,1,post,2026-09-08T17:11:20Z,BUF,HOU,2026-09-13T17:00:00+00:00,,,,1.375,1.333,1.5,44.625,3,0.5,"{""draftkings"": 1.5, ""fanatics"": 1.0, ""fanduel"": 1.5}",
2026,1,post,2026-09-08T17:11:20Z,CHI,CAR,2026-09-13T17:01:00+00:00,,,,3.0,3.0,3.0,47.375,3,0.0,"{""draftkings"": 3.0, ""fanatics"": 3.0, ""fanduel"": 3.0}",
2026,1,post,2026-09-08T17:11:20Z,CLE,JAX,2026-09-13T17:01:00+00:00,,,,-8.5,-8.5,-8.5,40.5,3,0.0,"{""draftkings"": -8.5, ""fanatics"": -8.5, ""fanduel"": -8.5}",
2026,1,post,2026-09-08T17:11:20Z,ATL,PIT,2026-09-13T17:01:00+00:00,,,,-3.375,-3.333,-3.5,42.0,3,0.5,"{""draftkings"": -3.5, ""fanatics"": -3.0, ""fanduel"": -3.5}",
2026,1,post,2026-09-08T17:11:20Z,NYJ,TEN,2026-09-13T17:01:00+00:00,,,,-1.5,-1.5,-1.5,39.5,3,0.0,"{""draftkings"": -1.5, ""fanatics"": -1.5, ""fanduel"": -1.5}",
2026,1,post,2026-09-08T17:11:20Z,NO,DET,2026-09-13T17:01:00+00:00,,,,-6.812,-6.833,-7.0,50.0,3,0.5,"{""draftkings"": -7.0, ""fanatics"": -7.0, ""fanduel"": -6.5}",
2026,1,post,2026-09-08T17:11:20Z,TB,CIN,2026-09-13T17:01:00+00:00,,,,-3.625,-3.667,-3.5,50.5,3,0.5,"{""draftkings"": -3.5, ""fanatics"": -4.0, ""fanduel"": -3.5}",
2026,1,post,2026-09-08T17:11:20Z,BAL,IND,2026-09-13T17:01:00+00:00,,,,3.5,3.5,3.5,47.625,3,0.0,"{""draftkings"": 3.5, ""fanatics"": 3.5, ""fanduel"": 3.5}",
2026,1,post,2026-09-08T17:11:20Z,WSH,PHI,2026-09-13T20:25:00+00:00,,,,-5.25,-5.167,-5.5,44.375,3,1.0,"{""draftkings"": -5.5, ""fanatics"": -4.5, ""fanduel"": -5.5}",
