season,week,date,away_team,home_team,home_score,away_score,home_line_open,home_line_close,home_ml_open,home_ml_close,away_ml_open,away_ml_close,total_open,total_close
2014,1,2014-09-04,GB,SEA,36,16,-5.0,-4.5,1.448,1.4339999999999999,2.99,3.05,46,46.5
2014,1,2014-09-07,IND,DEN,31,24,-7.0,-8.0,1.3220000000000001,1.2629999999999999,3.73,4.3,55,52.5
2014,1,2014-09-07,SF,DAL,17,28,5.0,3.5,3.1,2.39,1.425,1.649,51,49
2014,1,2014-09-07,CAR,TB,14,20,-1.0,-5.5,1.8260000000000001,1.444,2.1,3.01,39.5,38.5
2014,1,2014-09-07,NO,ATL,37,34,2.5,3.0,2.31,2.44,1.6890000000000001,1.625,51.5,51
2014,1,2014-09-07,CIN,BAL,16,23,-1.5,-1.0,1.847,1.8839999999999999,2.0699999999999998,2.02,43,43.5
2014,1,2014-09-07,BUF,CHI,20,23,-6.5,-7.0,1.357,1.37,3.48,3.39,48,47
2014,1,2014-09-07,WAS,HOU,17,6,-2.5,-3.0,1.7190000000000001,1.5640000000000001,2.2599999999999998,2.59,45,43.5
2014,1,2014-09-07,TEN,KC,10,26,-4.0,-3.0,1.48,1.625,2.86,2.44,43.5,45.5
2014,1,2014-09-07,NE,MIA,33,20,4.5,3.5,2.84,2.61,1.4870000000000001,1.5580000000000001,47,47.5
2014,1,2014-09-07,OAK,NYJ,19,14,-5.0,-6.5,1.425,1.359,3.1,3.46,39.5,41
2014,1,2014-09-07,JAX,PHI,34,17,-10.0,-10.0,1.2,1.194,5.23,5.35,53,49
2014,1,2014-09-07,CLE,PIT,30,27,-6.0,-5.5,1.37,1.413,3.39,3.16,40,41.5
2014,1,2014-09-07,MIN,STL,6,34,-4.0,-3.0,1.4950000000000001,1.645,2.81,2.4,44,43.5
2014,1,2014-09-08,SD,ARI,18,17,-3.5,-3.0,1.6060000000000001,1.649,2.4900000000000002,2.39,44.5,45.5
2014,1,2014-09-08,NYG,DET,35,14,-4.5,-6.5,1.48,1.367,2.86,3.41,46.5,45
2014,10,2014-11-06,CLE,CIN,3,24,-6.0,-6.5,1.363,1.4,3.44,3.22,44,45.5
2014,10,2014-11-09,CHI,GB,55,14,-7.5,-9.5,1.294,1.2629999999999999,3.97,4.3,52,53
2014,10,2014-11-09,STL,ARI,31,14,-7.0,-7.0,1.3169999999999999,1.333,3.77,3.64,43,43
2014,10,2014-11-09,NYG,SEA,38,17,-10.0,-9.0,1.2270000000000001,1.222,4.7699999999999996,4.8499999999999996,45,44.5
2014,10,2014-11-09,DEN,OAK,17,41,11.0,13.0,5.83,6.34,1.1719999999999999,1.153,48,50.5
2014,10,2014-11-09,TEN,BAL,21,7,-10.0,-10.5,1.208,1.2,5.08,5.23,44,44.5
2014,10,2014-11-09,KC,BUF,13,17,1.0,-2.0,2.09,1.7809999999999999,1.833,2.16,42,42
2014,10,2014-11-09,MIA,DET,20,16,-2.5,-3.0,1.724,1.6890000000000001,2.25,2.31,43.5,43
2014,10,2014-11-09,DAL,JAX,17,31,7.0,7.5,3.69,3.89,1.327,1.3029999999999999,45.5,45
2014,10,2014-11-09,SF,NO,24,27,-4.0,-6.0,1.454,1.403,2.97,3.21,49.5,49.5
2014,10,2014-11-09,PIT,NYJ,20,13,4.0,4.5,2.97,2.9,1.454,1.4710000000000001,45,47
2014,10,2014-11-09,ATL,TB,17,27,-1.0,3.5,2.11,2.5299999999999998,1.8129999999999999,1.5880000000000001,44.5,47
2014,10,2014-11-10,CAR,PHI,45,21,-6.5,-7.0,1.377,1.298,3.35,3.93,48,48.5
2014,11,2014-11-13,BUF,MIA,22,9,-5.0,-4.0,1.4339999999999999,1.512,3.05,2.75,42.5,40.5
2014,11,2014-11-16,NE,IND,20,42,-2.5,-3.0,1.6890000000000001,1.625,2.31,2.44,57,58
2014,11,2014-11-16,DET,ARI,14,6,-2.5,1.0,1.8129999999999999,2.04,2.11,1.869,41.5,41.5
2014,11,2014-11-16,PHI,GB,53,20,-4.5,-4.5,1.454,1.5,2.97,2.8,56.5,55.5
2014,11,2014-11-16,OAK,SD,13,6,-10.0,-10.5,1.208,1.2,5.08,5.23,44,45.5
2014,11,2014-11-16,ATL,CAR,17,19,0.0,2.5,1.8540000000000001,2.2599999999999998,2.06,1.7190000000000001,46,46.5
2014,11,2014-11-16,MIN,CHI,21,13,-3.5,-2.5,1.609,1.7809999999999999,2.48,2.16,47,46.5
2014,11,2014-11-16,HOU,CLE,7,23,-3.0,-4.5,1.5880000000000001,1.4690000000000001,2.5299999999999998,2.91,42.5,42
2014,11,2014-11-16,SEA,KC,24,20,0.0,1.0,1.8540000000000001,2.04,2.06,1.869,43,43.5
2014,11,2014-11-16,CIN,NO,10,27,-7.0,-8.5,1.3120000000000001,1.2629999999999999,3.81,4.3,50.5,51
2014,11,2014-11-16,SF,NYG,10,16,4.0,4.0,2.86,2.71,1.48,1.526,43.5,45
2014,11,2014-11-16,DEN,STL,22,7,9.0,8.0,4.7699999999999996,4.0999999999999996,1.2270000000000001,1.2809999999999999,50.5,49.5
2014,11,2014-11-16,TB,WAS,7,27,-7.0,-6.5,1.347,1.333,3.54,3.64,45,45.5
2014,11,2014-11-17,PIT,TEN,24,27,5.0,7.0,3.1,3.71,1.425,1.3240000000000001,47,46.5
2014,12,2014-11-20,KC,OAK,24,20,6.0,7.5,3.81,3.89,1.3120000000000001,1.3029999999999999,43.5,42
2014,12,2014-11-23,DAL,NYG,28,31,3.0,4.0,2.4500000000000002,2.81,1.621,1.4950000000000001,47,48.5
2014,12,2014-11-23,MIA,DEN,39,36,-7.0,-6.5,1.3,1.35,3.92,3.52,50,47.5
2014,12,2014-11-23,WAS,SF,17,13,-8.0,-9.0,1.2430000000000001,1.238,4.54,4.6100000000000003,44,44
2014,12,2014-11-23,STL,SD,27,24,-6.5,-4.0,1.4159999999999999,1.512,3.14,2.75,44.5,43.5
2014,12,2014-11-23,ARI,SEA,19,3,-7.0,-7.5,1.357,1.2769999999999999,3.48,4.1399999999999997,43,42
2014,12,2014-11-23,CLE,ATL,24,26,-3.0,-3.0,1.595,1.6890000000000001,2.52,2.31,46.5,48.5
2014,12,2014-11-23,TB,CHI,21,13,-5.5,-4.0,1.4,1.4950000000000001,3.22,2.81,46,47
2014,12,2014-11-23,CIN,HOU,13,22,-2.0,-3.0,1.833,1.671,2.09,2.35,43.5,44.5
2014,12,2014-11-23,JAX,IND,23,3,-13.5,-13.0,1.105,1.1419999999999999,8.36,6.69,50.5,49
2014,12,2014-11-23,GB,MIN,21,24,10.0,7.5,5,3.97,1.212,1.294,48,50
2014,12,2014-11-23,DET,NE,34,9,-7.0,-7.5,1.327,1.3220000000000001,3.69,3.73,48,47.5
2014,12,2014-11-23,TEN,PHI,43,24,-11.0,-11.0,1.1659999999999999,1.1659999999999999,5.98,5.98,48.5,49
2014,12,2014-11-24,BAL,NO,27,34,-3.5,-2.5,1.5069999999999999,1.746,2.77,2.21,49.5,50.5
